# E2_bin_center  ratio_distinguishable  ratio_indistinguishable  sirlin
2.004645e+03 9.956255e-01 1.000815e+00 1.006027e+00
2.014669e+03 9.969650e-01 9.987426e-01 1.005869e+00
2.024694e+03 9.943668e-01 9.990393e-01 1.005710e+00
2.034718e+03 9.884223e-01 9.928244e-01 1.005550e+00
2.044743e+03 9.912837e-01 9.944574e-01 1.005388e+00
2.054767e+03 9.971016e-01 1.000453e+00 1.005225e+00
2.064792e+03 9.859142e-01 9.901630e-01 1.005061e+00
2.074816e+03 9.866891e-01 9.926206e-01 1.004895e+00
2.084841e+03 9.848364e-01 9.897810e-01 1.004728e+00
2.094865e+03 9.973199e-01 1.002632e+00 1.004560e+00
2.104890e+03 9.947927e-01 1.000827e+00 1.004390e+00
2.114914e+03 9.744307e-01 9.792403e-01 1.004218e+00
2.124939e+03 9.915428e-01 9.982485e-01 1.004045e+00
2.134963e+03 9.970510e-01 1.001220e+00 1.003870e+00
2.144988e+03 9.932165e-01 1.000617e+00 1.003694e+00
2.155012e+03 9.745183e-01 9.795422e-01 1.003516e+00
2.165036e+03 9.766787e-01 9.815130e-01 1.003335e+00
2.175061e+03 9.888062e-01 9.942401e-01 1.003154e+00
2.185085e+03 9.878775e-01 9.945449e-01 1.002970e+00
2.195110e+03 9.981356e-01 1.003164e+00 1.002784e+00
2.205134e+03 9.886467e-01 9.933583e-01 1.002596e+00
2.215159e+03 1.009183e+00 1.015206e+00 1.002406e+00
2.225183e+03 1.005623e+00 1.015494e+00 1.002214e+00
2.235208e+03 1.005917e+00 1.013066e+00 1.002020e+00
2.245232e+03 1.011863e+00 1.019750e+00 1.001823e+00
2.255257e+03 9.879141e-01 9.929659e-01 1.001624e+00
2.265281e+03 9.754814e-01 9.828626e-01 1.001422e+00
2.275306e+03 9.811472e-01 9.863618e-01 1.001218e+00
2.285330e+03 9.954973e-01 1.001774e+00 1.001011e+00
2.295355e+03 9.915519e-01 9.998580e-01 1.000801e+00
2.305379e+03 9.829496e-01 9.899281e-01 1.000588e+00
2.315404e+03 1.001419e+00 1.009183e+00 1.000372e+00
2.325428e+03 9.805355e-01 9.906909e-01 1.000153e+00
2.335452e+03 1.004551e+00 1.014212e+00 9.999311e-01
2.345477e+03 1.001901e+00 1.013138e+00 9.997052e-01
2.355501e+03 9.749044e-01 9.806382e-01 9.994757e-01
2.365526e+03 9.788859e-01 9.880697e-01 9.992423e-01
2.375550e+03 9.897840e-01 9.963258e-01 9.990050e-01
2.385575e+03 1.003426e+00 1.012500e+00 9.987636e-01
2.395599e+03 9.745364e-01 9.830883e-01 9.985177e-01
2.405624e+03 9.721119e-01 9.863041e-01 9.982672e-01
2.415648e+03 9.874279e-01 9.953627e-01 9.980118e-01
2.425673e+03 9.969034e-01 1.007261e+00 9.977514e-01
2.435697e+03 9.879973e-01 9.985552e-01 9.974855e-01
2.445722e+03 1.004871e+00 1.018653e+00 9.972140e-01
2.455746e+03 9.754432e-01 9.861045e-01 9.969364e-01
2.465771e+03 9.684571e-01 9.807449e-01 9.966524e-01
2.475795e+03 9.857009e-01 9.961245e-01 9.963615e-01
2.485820e+03 9.873490e-01 9.995736e-01 9.960635e-01
2.495844e+03 9.442524e-01 9.547681e-01 9.957577e-01
2.505868e+03 9.885595e-01 9.954882e-01 9.954437e-01
2.515893e+03 9.850136e-01 9.977861e-01 9.951208e-01
2.525917e+03 9.910633e-01 1.006931e+00 9.947884e-01
2.535942e+03 9.796462e-01 9.937227e-01 9.944458e-01
2.545966e+03 9.702431e-01 9.857502e-01 9.940921e-01
2.555991e+03 1.004056e+00 1.017125e+00 9.937264e-01
2.566015e+03 1.008072e+00 1.019231e+00 9.933477e-01
2.576040e+03 9.448880e-01 9.649755e-01 9.929548e-01
2.586064e+03 9.414981e-01 9.524330e-01 9.925462e-01
2.596089e+03 9.731423e-01 9.886601e-01 9.921206e-01
2.606113e+03 9.695767e-01 9.880952e-01 9.916759e-01
2.616138e+03 9.481941e-01 9.609632e-01 9.912100e-01
2.626162e+03 9.903725e-01 1.004186e+00 9.907206e-01
2.636187e+03 1.006613e+00 1.028814e+00 9.902044e-01
2.646211e+03 9.451252e-01 9.563133e-01 9.896579e-01
2.656236e+03 9.699202e-01 9.840393e-01 9.890767e-01
2.666260e+03 9.147887e-01 9.309859e-01 9.884552e-01
2.676284e+03 9.824708e-01 9.966611e-01 9.877865e-01
2.686309e+03 9.481409e-01 9.559687e-01 9.870618e-01
2.696333e+03 9.094203e-01 9.408213e-01 9.862692e-01
2.706358e+03 9.300477e-01 9.459459e-01 9.853930e-01
2.716382e+03 8.808081e-01 8.989899e-01 9.844110e-01
2.726407e+03 1.005714e+00 1.034286e+00 9.832906e-01
2.736431e+03 9.206349e-01 9.365079e-01 9.819817e-01
2.746456e+03 8.841463e-01 9.024390e-01 9.804000e-01
2.756480e+03 1.312500e+00 1.312500e+00 9.783882e-01
2.766505e+03 1.444444e+00 1.500000e+00 9.755930e-01
2.776529e+03 7.142857e-01 7.142857e-01 9.708889e-01
